date,kosdaq,kospi
2018-03-30,871.09,2445.85
2018-03-29,865.99,2436.37
2018-03-28,850.97,2419.29
2018-03-27,858.84,2452.06
2018-03-26,853.69,2437.08
2018-03-23,829.68,2416.76
2018-03-22,871.62,2496.02
2018-03-21,885.55,2484.97
2018-03-20,890.4,2485.52
2018-03-19,880.97,2475.03
2018-03-16,894.43,2493.97
2018-03-15,890.43,2492.38
2018-03-14,886.92,2486.08
2018-03-13,886.25,2494.49
2018-03-12,884.27,2484.12
2018-03-09,865.8,2459.45
2018-03-08,853.94,2433.08
2018-03-07,841.03,2401.82
2018-03-06,859.21,2411.41
2018-03-05,845,2375.06
2018-03-02,860.23,2402.16
2018-02-28,857.06,2427.36
2018-02-27,874.01,2456.14
2018-02-26,874.43,2457.65
2018-02-23,874.78,2451.52
2018-02-22,870.22,2414.28
2018-02-21,875.58,2429.65
2018-02-20,864.41,2415.12
2018-02-19,875.81,2442.82
2018-02-14,848.03,2421.83
2018-02-13,829.39,2395.19
2018-02-12,843.24,2385.38
2018-02-09,842.6,2363.77
2018-02-08,861.94,2407.62
2018-02-07,829.96,2396.56
2018-02-06,858.17,2453.31
2018-02-05,858.22,2491.75
2018-02-02,899.47,2525.39
2018-02-01,908.2,2568.54
2018-01-31,913.57,2566.46
2018-01-30,920.96,2567.74
2018-01-29,927.05,2598.19
2018-01-26,913.12,2574.76
2018-01-25,898.6,2562.23
2018-01-24,894.77,2538
2018-01-23,894.43,2536.6
2018-01-22,873.09,2502.11
2018-01-19,879.99,2520.26
2018-01-18,898.19,2515.81
2018-01-17,886.58,2515.43
2018-01-16,901.23,2521.74
2018-01-15,891.61,2503.73
2018-01-12,873.05,2496.42
2018-01-11,852.51,2487.91
2018-01-10,834.91,2499.75
2018-01-09,829.99,2510.23
2018-01-08,839.51,2513.28
2018-01-05,828.03,2497.52
2018-01-04,808.01,2466.46
2018-01-03,822.31,2486.35
2018-01-02,812.45,2479.65
2017-12-28,798.42,2467.49
2017-12-27,791.95,2436.67
2017-12-26,762.21,2427.34
2017-12-22,761.2,2440.54
2017-12-21,740.32,2429.83
2017-12-20,755.27,2472.37
2017-12-19,766.18,2478.53
2017-12-18,770.5,2481.88
2017-12-15,771.82,2482.07
2017-12-14,770.35,2469.48
2017-12-13,772.22,2480.55
2017-12-12,760.4,2461
2017-12-11,764.09,2471.49
2017-12-08,744.06,2464
2017-12-07,753.46,2461.98
2017-12-06,768.39,2474.37
2017-12-05,774.12,2510.12
2017-12-04,782.45,2501.67
2017-12-01,787.7,2475.41
2017-11-30,771.42,2476.37
2017-11-29,781.72,2512.9
2017-11-28,773.12,2514.19
2017-11-27,792.8,2507.81
2017-11-24,792.74,2544.33
2017-11-23,796.8,2537.15
2017-11-22,780.9,2540.51
2017-11-21,789.38,2530.7
2017-11-20,785.32,2527.67
2017-11-17,775.85,2533.99
2017-11-16,780.22,2534.79
2017-11-15,768.03,2518.25
2017-11-14,756.46,2526.64
2017-11-13,741.38,2530.35
2017-11-10,720.79,2542.95
2017-11-09,709.94,2550.57
2017-11-08,709.11,2552.4
2017-11-07,701.14,2545.44
2017-11-06,703.79,2549.41
2017-11-03,701.13,2557.97
2017-11-02,694.96,2546.36
2017-11-01,695.77,2556.47
